DEAL_NO,PURPOSE,AMOUNT
528157,Personal Consumption,409.53
528158,Construction,2237.84
528158,Working Capital,2237.85
528159,Equipment Purchase,45004.5
528160,Home Purchase,476.26
528160,Working Capital,476.25
528160,Real Estate Purchase,476.26
528161,Working Capital,1650.59
528162,Business Expansion,7218.2
528163,Equipment Purchase,920.05
528164,Business Expansion,3389.44
528165,Equipment Purchase,38471.87
528166,Business Expansion,153.5
528167,Debt Consolidation,3283.75
528168,Working Capital,8118.1
528169,Real Estate Purchase,585.87
528170,Debt Consolidation,2976.87
528171,Business Expansion,32617.23
528172,Home Purchase,1258.59
528173,Equipment Purchase,3572.75
528174,Construction,20255.93
528175,Vehicle Purchase,1135.65
528176,Working Capital,3171.72
528177,Business Expansion,38253.08
528178,Working Capital,231.31
528178,Business Expansion,231.31
528178,Equipment Purchase,231.31
528179,Business Expansion,2276.25
528180,Business Expansion,15695.44
528181,Business Expansion,320084.99
528182,Real Estate Purchase,887.99
528183,Debt Consolidation,2180.32
528184,Working Capital,22595.65
528185,Business Expansion,301516.68
528186,Home Purchase,474.13
528187,Working Capital,3599.9
528188,Equipment Purchase,6209.73
528189,Debt Consolidation,83005.75
528190,Real Estate Purchase,139.45
528191,Debt Consolidation,3929.04
528192,Equipment Purchase,11443.8
528193,Business Expansion,384331.42
528194,Business Expansion,1451.11
528195,Working Capital,2640.73
528196,Construction,18128.47
528197,Business Expansion,326666.8
528198,Real Estate Purchase,1649.61
528199,Business Expansion,694.96
528199,Working Capital,694.95
528199,Construction,694.96
528200,Working Capital,24819.54
528201,Business Expansion,392075.12
528202,Debt Consolidation,694.62
528203,Business Expansion,2736.35
528204,Equipment Purchase,9448.72
528205,Working Capital,50830.63
528206,Home Purchase,799.86
528206,Working Capital,799.85
528207,Construction,2346.28
528208,Business Expansion,6691.77
528209,Debt Consolidation,49302.39
528210,Debt Consolidation,1699.04
528211,Business Expansion,1463.56
528211,Working Capital,1463.56
528211,Equipment Purchase,1463.57
528212,Working Capital,2826.63
528212,Business Expansion,2826.63
528213,Debt Consolidation,94123.16
528214,Working Capital,454.53
528214,Home Purchase,454.52
528214,Real Estate Purchase,454.53
528215,Business Expansion,3806.93
528216,Business Expansion,24292.84
528217,Equipment Purchase,471759.14
528218,Debt Consolidation,1246.64
528219,Working Capital,2912.96
528220,Debt Consolidation,20024.94
528221,Business Expansion,70324.84
528221,Working Capital,70324.84
528222,Equipment Purchase,1119.92
528223,Working Capital,1994.16
528224,Business Expansion,32412.56
528225,Equipment Purchase,310897.7
528226,Equipment Purchase,327.44
528227,Debt Consolidation,1919.97
528228,Debt Consolidation,31473.59
528229,Working Capital,32570.44
528229,Working Capital,32570.45
528230,Vehicle Purchase,747.53
528231,Business Expansion,4020.57
528232,Business Expansion,32412.78
528233,Debt Consolidation,226083.53
528233,Working Capital,226083.53
528234,Business Expansion,1578.33
528235,Debt Consolidation,2698.65
528236,Equipment Purchase,8088.05
528237,Business Expansion,88996.95
528238,Personal Consumption,481.14
528239,Working Capital,2809.49
528240,Construction,42917.1
528241,Business Expansion,257198.85
528242,Personal Consumption,1282.91
528243,Business Expansion,1839.8
528244,Working Capital,10477.54
528244,Working Capital,10477.54
528245,Working Capital,50572.71
528246,Debt Consolidation,873.54
528247,Business Expansion,2245.87
528248,Equipment Purchase,18249.58
528248,Working Capital,18249.58
528249,Business Expansion,306048.3
528250,Equipment Purchase,1569.29
528251,Working Capital,1496.12
528252,Working Capital,26675.56
528253,Equipment Purchase,388108.67
528254,Vehicle Purchase,1743.36
528255,Equipment Purchase,3191.01
528256,Working Capital,14077.53
528256,Business Expansion,14077.54
528257,Business Expansion,142840.11
528257,Working Capital,142840.11
528258,Vehicle Purchase,960.04
528259,Working Capital,3454.57
528260,Equipment Purchase,32411.39
528261,Debt Consolidation,32955.9
528261,Working Capital,32955.91
528262,Debt Consolidation,491.15
528263,Working Capital,1954.3
528263,Working Capital,1954.29
528264,Working Capital,15738.07
528264,Business Expansion,15738.07
528265,Business Expansion,439028.55
528266,Home Purchase,1307.19
528267,Working Capital,730.8
528267,Debt Consolidation,730.81
528268,Construction,24947.17
528269,Working Capital,88411.68
528269,Equipment Purchase,88411.68
528269,Business Expansion,88411.67
528270,Business Expansion,789.76
528271,Equipment Purchase,2744.18
528272,Working Capital,41878.12
528273,Business Expansion,303629.13
528274,Home Purchase,602.86
528275,Business Expansion,2421.81
528276,Business Expansion,28943.04
528277,Debt Consolidation,336861.02
528278,Personal Consumption,309.11
528278,Debt Consolidation,309.11
528278,Working Capital,309.1
528279,Working Capital,2364.65
528280,Business Expansion,15985.69
528281,Construction,323704.9
528282,Debt Consolidation,785.13
528283,Debt Consolidation,1413.64
528283,Working Capital,1413.65
528284,Debt Consolidation,4434.89
528284,Working Capital,4434.89
528285,Construction,415474.27
528286,Real Estate Purchase,74.27
528287,Business Expansion,2177.86
528288,Working Capital,26319.09
528289,Construction,222837.51
528290,Home Purchase,998.96
528291,Business Expansion,4352.77
528292,Equipment Purchase,12895.56
528292,Business Expansion,12895.56
528292,Working Capital,12895.55
528293,Equipment Purchase,72248.66
528294,Personal Consumption,1155.01
528295,Debt Consolidation,3033.1
528296,Construction,14710.28
528297,Working Capital,222154.21
528297,Working Capital,222154.21
528298,Working Capital,533.76
528298,Personal Consumption,533.76
528298,Debt Consolidation,533.77
528299,Business Expansion,1340.11
528300,Business Expansion,6177.01
528301,Business Expansion,294564.39
528302,Equipment Purchase,923.77
528303,Construction,4185.44
528304,Working Capital,32920.37
528305,Equipment Purchase,281375.92
528306,Working Capital,262.29
528306,Real Estate Purchase,262.28
528307,Equipment Purchase,3747.0
528308,Debt Consolidation,20651.04
528309,Working Capital,146525.27
528310,Debt Consolidation,1453.62
528311,Working Capital,2175.87
528312,Business Expansion,10860.95
528313,Business Expansion,228774.1
528314,Vehicle Purchase,685.07
528315,Business Expansion,2535.48
528316,Equipment Purchase,28213.26
528317,Construction,326012.06
528318,Vehicle Purchase,744.82
528319,Construction,3798.17
528320,Business Expansion,40259.23
528321,Business Expansion,234122.53
528322,Home Purchase,232.99
528323,Working Capital,1352.2
528323,Working Capital,1352.2
528324,Business Expansion,34470.32
528325,Construction,252043.58
528326,Vehicle Purchase,759.55
528326,Working Capital,759.55
528327,Equipment Purchase,2839.63
528328,Construction,12396.17
528328,Working Capital,12396.17
528328,Business Expansion,12396.18
528329,Equipment Purchase,415189.83
528330,Real Estate Purchase,421.2
528330,Home Purchase,421.21
528331,Equipment Purchase,3858.49
528332,Business Expansion,31441.29
528333,Equipment Purchase,431776.44
528334,Real Estate Purchase,1047.28
528335,Business Expansion,1386.8
528335,Equipment Purchase,1386.8
528336,Working Capital,25045.89
528337,Working Capital,44753.86
528337,Debt Consolidation,44753.85
528338,Business Expansion,201.11
528338,Equipment Purchase,201.11
528338,Working Capital,201.1
528339,Debt Consolidation,2415.4
528340,Debt Consolidation,24362.1
528341,Equipment Purchase,197564.66
528342,Business Expansion,563.17
528343,Working Capital,3686.69
528344,Business Expansion,30791.44
528345,Equipment Purchase,177684.4
528345,Business Expansion,177684.41
528346,Working Capital,152.11
528346,Real Estate Purchase,152.1
528346,Home Purchase,152.11
528347,Debt Consolidation,1045.79
528347,Working Capital,1045.79
528348,Working Capital,32709.05
528349,Working Capital,70485.17
528349,Working Capital,70485.17
528350,Vehicle Purchase,1390.64
528351,Business Expansion,4194.27
528352,Business Expansion,10357.37
528353,Business Expansion,81063.76
528354,Working Capital,1723.78
528355,Working Capital,1847.84
528356,Debt Consolidation,11516.39
528356,Working Capital,11516.39
528357,Business Expansion,137302.82
528358,Business Expansion,1535.86
528359,Business Expansion,1438.12
528359,Equipment Purchase,1438.12
528359,Working Capital,1438.11
528360,Debt Consolidation,26014.42
528361,Business Expansion,353298.46
528362,Real Estate Purchase,740.87
528363,Equipment Purchase,1589.77
528363,Working Capital,1589.76
528364,Business Expansion,40651.26
528365,Business Expansion,128329.48
528366,Home Purchase,554.39
528367,Equipment Purchase,907.6
528367,Business Expansion,907.6
528367,Working Capital,907.59
528368,Equipment Purchase,33737.96
528369,Business Expansion,369680.24
528370,Debt Consolidation,1373.32
528371,Construction,4247.42
528372,Business Expansion,11360.94
528373,Working Capital,70182.79
528373,Working Capital,70182.8
528374,Vehicle Purchase,1649.57
528375,Business Expansion,2555.02
528376,Working Capital,27738.2
528377,Debt Consolidation,328888.42
528378,Home Purchase,446.73
528378,Real Estate Purchase,446.73
528379,Business Expansion,3263.04
528380,Business Expansion,27073.84
528381,Business Expansion,63974.83
528381,Working Capital,63974.84
528382,Working Capital,377.24
528382,Vehicle Purchase,377.23
528383,Debt Consolidation,3553.02
528384,Business Expansion,26309.56
528385,Working Capital,250856.18
528386,Vehicle Purchase,171.2
528387,Working Capital,2760.57
528388,Equipment Purchase,21530.76
528389,Business Expansion,232456.9
528389,Construction,232456.91
528390,Debt Consolidation,184.97
528391,Business Expansion,3336.68
528392,Working Capital,30088.04
528393,Equipment Purchase,331915.59
528394,Equipment Purchase,898.5
528395,Working Capital,3713.66
528396,Business Expansion,19670.79
528397,Working Capital,147209.86
528398,Personal Consumption,1160.03
528399,Equipment Purchase,1155.64
528399,Working Capital,1155.64
528399,Business Expansion,1155.64
528400,Working Capital,21879.58
528401,Business Expansion,351530.52
528402,Personal Consumption,858.15
528403,Business Expansion,4156.96
528404,Working Capital,16854.28
528405,Working Capital,274596.55
528406,Home Purchase,1041.74
528407,Business Expansion,2793.76
528408,Business Expansion,20626.14
528409,Business Expansion,170257.76
528410,Real Estate Purchase,1160.28
528411,Working Capital,1760.58
528411,Construction,1760.58
528412,Business Expansion,22321.12
528413,Business Expansion,96535.71
528413,Working Capital,96535.71
528414,Personal Consumption,94.09
528414,Working Capital,94.08
528414,Debt Consolidation,94.09
528415,Business Expansion,4041.1
528416,Business Expansion,31822.67
528417,Working Capital,141028.21
528418,Business Expansion,548.15
528418,Working Capital,548.15
528419,Business Expansion,3329.84
528420,Working Capital,10120.44
528420,Business Expansion,10120.45
528421,Business Expansion,356898.05
528422,Home Purchase,132.46
528423,Working Capital,3096.84
528424,Working Capital,22350.17
528425,Business Expansion,292097.4
528426,Vehicle Purchase,1456.68
528427,Business Expansion,1056.29
528427,Working Capital,1056.28
528428,Equipment Purchase,44038.28
528429,Business Expansion,192091.34
528430,Home Purchase,1262.32
528431,Equipment Purchase,1284.62
528431,Working Capital,1284.62
528432,Working Capital,5952.01
528433,Business Expansion,153035.45
528433,Working Capital,153035.45
528433,Construction,153035.46
528434,Vehicle Purchase,1601.53
528435,Working Capital,2969.76
528436,Business Expansion,26613.58
528437,Business Expansion,295464.77
528438,Vehicle Purchase,957.09
528439,Working Capital,1317.88
528440,Equipment Purchase,24874.37
528441,Working Capital,73809.54
528441,Business Expansion,73809.54
528442,Home Purchase,1164.22
528443,Equipment Purchase,4411.21
528444,Working Capital,23147.53
528445,Working Capital,201959.39
528446,Real Estate Purchase,288.75
528447,Business Expansion,1445.61
528447,Working Capital,1445.61
528448,Working Capital,38780.26
528449,Business Expansion,194441.84
528450,Vehicle Purchase,612.48
528451,Business Expansion,2137.8
528451,Working Capital,2137.79
528452,Equipment Purchase,29276.33
528453,Working Capital,414779.75
528454,Business Expansion,397777.83
528455,Equipment Purchase,35116.35
528456,Working Capital,100795.56
528457,Business Expansion,472501.8
528458,Working Capital,116471.5
528458,Business Expansion,116471.5
528459,Refinance,2836.71
528460,Refinance,36121.04
528461,Refinance,45493.52
528462,Refinance,13370.35
528463,Refinance,3295.01
528464,Refinance,2578.31
528465,Refinance,184828.4
528465,Refinance,184828.41
528466,Refinance,131553.07
528467,Refinance,372090.94
528468,Refinance,11976.62
528468,Refinance,11976.63
528469,Refinance,170506.0
528469,Refinance,170506.0
528470,Refinance,3077.7
528471,Refinance,24052.2
528472,Refinance,1964.75
528473,Refinance,3533.74
528474,Refinance,42888.55
528475,Refinance,1706.21
528475,Refinance,1706.22
528476,Refinance,22265.04
528477,Refinance,20760.23
528478,Refinance,2193.41
528478,Refinance,2193.41
528479,Refinance,10099.98
528480,Refinance,35628.88
528481,Refinance,111207.5
528481,Refinance,111207.51
528481,Refinance,111207.5
528482,Refinance,2895.21
528483,Refinance,2441.5
528484,Refinance,2340.3
528485,Refinance,7564.31
528485,Refinance,7564.32
528486,Refinance,4266.63
528487,Refinance,8863.96
528488,Refinance,8678.83
528489,Refinance,6795.36
528490,Refinance,1609.8
528491,Refinance,911.62
528491,Refinance,911.61
528492,Refinance,29681.42
528493,Refinance,25311.2
528494,Refinance,130337.4
528495,Refinance,27722.68
528496,Refinance,211570.3
528497,Refinance,3009.83
528497,Refinance,3009.82
528497,Refinance,3009.83
528498,Refinance,2184.49
528498,Refinance,2184.49
528499,Refinance,362000.12
528500,Refinance,175733.79
528501,Refinance,74120.27
528502,Refinance,37421.79
528503,Refinance,10573.77
528503,Refinance,10573.77
528503,Refinance,10573.78
528504,Refinance,334120.3
528505,Refinance,9099.86
528506,Refinance,38117.01
528507,Refinance,403376.48
528508,Refinance,250500.32
528509,Refinance,168931.37
528510,Refinance,1127.66
528510,Refinance,1127.66
528510,Refinance,1127.66
528511,Refinance,13012.3
528512,Refinance,3393.95
528513,Refinance,29518.54
528514,Refinance,151034.38
528515,Refinance,295847.32
528516,Refinance,59211.07
528517,Refinance,15300.74
528518,Refinance,203078.5
528519,Refinance,9015.07
528520,Refinance,1178.47
528520,Refinance,1178.47
528520,Refinance,1178.48
528521,Refinance,4497.16
528522,Refinance,2970.08
528523,Refinance,3341.34
528524,Refinance,4443.88
528525,Refinance,13188.09
528525,Refinance,13188.09
528525,Refinance,13188.09
528526,Refinance,150791.98
528527,Refinance,377069.14
528528,Refinance,12550.65
528529,Refinance,1369.22
528530,Refinance,223910.6
528531,Working Capital,208129.06
528532,Debt Consolidation,148803.94
528533,Business Expansion,288093.26
528534,Business Expansion,154324.45
528535,Working Capital,21543.18
